index,client_request_id,idempotency_key,category,attempts,sync_delay_ms,final_state,outcome,error_message
0,"exp4-client-s42-succ-0000","exp4-idemp-s42-succ-0000","IMMEDIATE_SUCCESS",0,10000,"SYNCED","SYNCED",""
1,"exp4-client-s42-succ-0001","exp4-idemp-s42-succ-0001","IMMEDIATE_SUCCESS",0,9900,"SYNCED","SYNCED",""
2,"exp4-client-s42-succ-0002","exp4-idemp-s42-succ-0002","IMMEDIATE_SUCCESS",0,9800,"SYNCED","SYNCED",""
3,"exp4-client-s42-succ-0003","exp4-idemp-s42-succ-0003","IMMEDIATE_SUCCESS",0,9700,"SYNCED","SYNCED",""
4,"exp4-client-s42-succ-0004","exp4-idemp-s42-succ-0004","IMMEDIATE_SUCCESS",0,9600,"SYNCED","SYNCED",""
5,"exp4-client-s42-succ-0005","exp4-idemp-s42-succ-0005","IMMEDIATE_SUCCESS",0,9500,"SYNCED","SYNCED",""
6,"exp4-client-s42-succ-0006","exp4-idemp-s42-succ-0006","IMMEDIATE_SUCCESS",0,9400,"SYNCED","SYNCED",""
7,"exp4-client-s42-succ-0007","exp4-idemp-s42-succ-0007","IMMEDIATE_SUCCESS",0,9300,"SYNCED","SYNCED",""
8,"exp4-client-s42-succ-0008","exp4-idemp-s42-succ-0008","IMMEDIATE_SUCCESS",0,9200,"SYNCED","SYNCED",""
9,"exp4-client-s42-succ-0009","exp4-idemp-s42-succ-0009","IMMEDIATE_SUCCESS",0,9100,"SYNCED","SYNCED",""
10,"exp4-client-s42-succ-0010","exp4-idemp-s42-succ-0010","IMMEDIATE_SUCCESS",0,9000,"SYNCED","SYNCED",""
11,"exp4-client-s42-succ-0011","exp4-idemp-s42-succ-0011","IMMEDIATE_SUCCESS",0,8900,"SYNCED","SYNCED",""
12,"exp4-client-s42-succ-0012","exp4-idemp-s42-succ-0012","IMMEDIATE_SUCCESS",0,8800,"SYNCED","SYNCED",""
13,"exp4-client-s42-succ-0013","exp4-idemp-s42-succ-0013","IMMEDIATE_SUCCESS",0,8700,"SYNCED","SYNCED",""
14,"exp4-client-s42-succ-0014","exp4-idemp-s42-succ-0014","IMMEDIATE_SUCCESS",0,8600,"SYNCED","SYNCED",""
